Id,URL,Label
1,100monkeystyping.com,0
2,12thharmonic.com/wordpress,0
3,40ozblog.blogspot.com,0
4,4lina.tblog.com,0
5,750volts.blogspot.com,0
6,95theses.blogspot.com,0
7,abbadabbaduo.blogspot.com,0
8,aboutpolitics.blogspot.com,0
9,achingandspinning.blogspot.com,0
10,ackackack.com,0
11,adamtalib.blogspot.com,0
12,adviceforlefty.blogspot.com,0
13,agonist.org,0
14,aintnobaddude.com,0
15,ajbenjaminjr.blogspot.com,0
16,alicublog.blogspot.com,0
17,allanjenkins.typepad.com,0
18,allspinzone.blogspot.com,0
19,alphapredator.com/wdtgw.htm,0
20,alternateworlds.blogspot.com,0
21,althippo.blogspot.com,0
22,alvintostig.typepad.com,0
23,americablog.blogspot.com,0
24,americablog.org,0
25,americandreamslost.blogspot.com,0
26,americanmuslim.blogs.com,0
27,americanpolitics.com,0
28,americansforbayh.blogspot.com,0
29,amleft.blogspot.com,0
30,amliberal.com/blog,0
31,amptoons.com/blog,0
32,anarchyxero.robfindlay.org,0
33,andifeelfine.blogspot.com,0
34,andymatic.com,0
35,angrybear.blogspot.com,0
36,angrydesi.typepad.com,0
37,angryfinger.org,0
38,angryhomo.blogspot.com,0
39,annatopia.com/home.html,0
40,anoldsoul.blogspot.com,0
41,anonymoussources.blogspot.com,0
42,answerguy.blogspot.com,0
43,anybodybutbushyall.blogspot.com,0
44,anywhichway.net,0
45,arancaytar.blogspot.com,0
46,archpundit.com,0
47,arkansastonight.com,0
48,asian-nation.org/headlines/index.php,0
49,asiegeofherons.blogspot.com,0
50,asilentrevolution.blogspot.com,0
51,askhoudari.blogspot.com,0
52,astroturf.uni.cc,0
53,atease.blogspot.com,0
54,atomicairship.com,0
55,atrios.blogspot.com,0
56,atrios.blogspot.com/,0
57,aurelientt.blogspot.com,0
58,awards5.tripod.com/tarasblog,0
59,b-patton.blogspot.com,0
60,babylon.squarespace.com,0
61,badattitudes.com/mt,0
62,bakshi.us/redskunk,0
63,barcidhomily.com,0
64,barkingdingo.blogspot.com,0
65,bartcop.com,0
66,battleground-wisconsin.blogspot.com,0
67,battlegroundstates.blogspot.com,0
68,beastsbelly.blogspot.com,0
69,bentcorner.blogspot.com,0
70,bettyblog.com,0
71,bigbloosky.blogspot.com,0
72,billmon.org,0
73,billsrants.blogspot.com,0
74,blackwingleftbird.blogspot.com,0
75,blog.dccc.org,0
76,blog.dennisfox.net,0
77,blog.glinka.com,0
78,blog.johnkerry.com,0
79,blog.kenlan.net,0
80,blog.mintruth.com,0
81,blog.veggiedude.com,0
82,blog01.kintera.com/dnccblog,0
83,blog01.kintera.com/emilysblog,0
84,bloganonymous.com,0
85,blogforamerica.com,0
86,blogforarizona.com,0
87,blogfreeordie.blogspot.com,0
88,blogitics.com,0
89,blogs.salon.com/0002874,0
90,blogs.salon.com/0003364,0
91,blogs.salon.com/0004024,0
92,blogslut.com,0
93,blosteam.blogspot.com,0
94,blotts.org/polilog,0
95,bluegrassroots.blogspot.com,0
96,bluelemur.com,0
97,blueoregon.com,0
98,bluestateredstate.blogspot.com,0
99,bodyandsoul.typepad.com,0
100,boffo.typepad.com,0
101,boloboffin.blogspot.com,0
102,bopnews.com,0
103,boston.com/news/blogs/dnc,0
104,bowles2004.com/weblog,0
105,boycottsbg.com,0
106,bradcarson.com/blog,0
107,bradfriedman.com/bradblog,0
108,brianhull.net,0
109,brilliantatbreakfast.blogspot.com,0
110,browncross.com/usualsuspects,0
111,brunon.blogspot.com,0
112,bryan08.tk,0
113,btcnews.com/btcnews,0
114,bullmooseblog.com,0
115,burntorangereport.com,0
116,bushlies.net/pages/10/index.htm,0
117,bushmisunderestimated.blogspot.com,0
118,busybusybusy.com,0
119,buzzmachine.com,0
120,cadat.nl,0
121,carpetblogger.com,0
122,catchingsmoke.blogspot.com,0
123,cbaker.org/blog,0
124,cemonitor.blogspot.com,0
125,centerpiece.blogspot.com,0
126,chak.org/blog,0
127,changeforamerica.com/blog,0
128,charleypatton.blogspot.com,0
129,charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48,0
130,chepooka.com,0
131,chestnut_tree.blogspot.com,0
132,chiron.typepad.com,0
133,churchofcriticalthinking.com,0
134,civicactions.com,0
135,cjh9999.blog-city.com,0
136,clarified.blogspot.com,0
137,claudialong.com/blog,0
138,cleancutkid.com,0
139,cnle.net,0
140,collegedems.com/blog,0
141,conniptions.net,0
142,conservativessuck.blogspot.com,0
143,contrapositive.blogspot.com,0
144,corrente.blogspot.com,0
145,counterspin.blogspot.com,0
146,courtney5.us/drew,0
147,crankylittleblog.blogspot.com,0
148,crapiscommon.blogspot.com,0
149,criticalviewer.com,0
150,crookedtimber.org,0
151,crooksandliars.com,0
152,dailyblatt.blogspot.com,0
153,dailyblurb.blogspot.com,0
154,dailyhowler.com,0
155,dailykos.com,0
156,dailywarnews.blogspot.com,0
157,damntheman.net,0
158,dashnier.blogspot.com,0
159,davidsirota.com,0
160,dawnofnewamerica.blogspot.com,0
161,deanocrats.com,0
162,deathpenaltyusa.blogspot.com,0
163,debunker.net,0
164,decksitters.my-expressions.com,0
165,dedspace.blogspot.com,0
166,delraysteve.com/blog,0
167,demagogue.blogspot.com,0
168,demleft.blogspot.com,0
169,democrants.blogspot.com,0
170,democraticunderground.com,0
171,democratreport.blogspot.com,0
172,democrats.org/blog,0
173,democratvoice.org,0
174,demoliberal.blogspot.com,0
175,dems2000.net,0
176,dems2004.com/blog,0
177,dems2004.org/blog,0
178,denisdekat.com,0
179,dewar.journalspace.com,0
180,digbysblog.blogspot.com,0
181,digestiblenews.blogspot.com,0
182,digital-democrat.blogspot.com,0
183,digitaldissent.blogspot.com,0
184,digitaljay.blogspot.com,0
185,dimmykarras.blogspot.com,0
186,dir.salon.com/topics/joe_conason/index.html,0
187,discourse.net,0
188,diypolitics.blogdrive.com,0
189,dneiwert.blogspot.com,0
190,dogfight04.typepad.com,0
191,dohiyimir.typepad.com,0
192,dolphinsdock.com/blog,0
193,donkey2004.blogspot.com,0
194,donspoliticalblog.blogspot.com,0
195,doublespeakez.blogspot.com,0
196,doubter.blogspot.com,0
197,drugwarmovie.com/drugwarmovie/weblog/blogger.html,0
198,duckdaotsu.blogspot.com,0
199,dygital.blogspot.com,0
200,dystopia.blog-city.com,0
201,eastbaykerry.com,0
202,elayneriggs.blogspot.com,0
203,elderbearden.blogspot.com,0
204,electablog.com,0
205,elemming2.blogspot.com,0
206,elfoflight.blogspot.com,0
207,elissa.typepad.com,0
208,eltcamerica.blogspot.com,0
209,emergingdemocraticmajority.com,0
210,emergingdemocraticmajorityweblog.com/donkeyrising,0
211,emptyisform.com,0
212,endthenightmare.blogspot.com,0
213,enemykombatant.blogspot.com,0
214,enlightenedbelle.blogspot.com,0
215,ergio.blogspot.com,0
216,estropundit.blogspot.com,0
217,etherealgirl.blogspot.com,0
218,fafblog.blogspot.com,0
219,fairshot.org,0
220,farleft.blogspot.com,0
221,fidlet.com,0
222,fiercepoet.com,0
223,flagrancy.net,0
224,folkbum.blogspot.com,0
225,forewarned.blogspot.com,0
226,freakinliberals.com/blog_a,0
227,frederickclarkson.com,0
228,freedompress.blogspot.com,0
229,fromtheroots.org,0
230,fuckthisblog.blogspot.com,0
231,futuraworkz.com,0
232,gabeanderson.com/life,0
233,gadflyer.com,0
234,gaijincory.com,0
235,garbage-house.com,0
236,garrulus.ilcannocchiale.it,0
237,georgewbuy.blogspot.com,0
238,gisleson.com/blog,0
239,global-equality.org/news/blog/index.shtml,0
240,gloomanddoom.blogspot.com,0
241,goose3five.blogspot.com,0
242,gotzfamily.org/weblog,0
243,grassrootsmom.blogspot.com,0
244,grassrootsnation.com,0
245,greaterdemocracy.org,0
246,greendogdemocrat.blogspot.com,0
247,greentit.com,0
248,gregpalast.com,0
249,grupo-utopia.com/blog/isou,0
250,hal9000report.blogdrive.com,0
251,halcyondays.info,0
252,hategun.com,0
253,hellafaded.blogspot.com,0
254,hellofromparis.blogspot.com,0
255,hellskitchennyc.blogspot.com,0
256,hereswhatsleft.typepad.com,0
257,hereswhatsleft.typepad.com/home,0
258,heysucka.blogspot.com,0
259,higherpieproductions.com,0
260,hoeffelforsenate.com/blog,0
261,home.att.net/~dbarnhill,0
262,home.att.net/~gentle.reader,0
263,home.earthlink.net/~cdowner,0
264,home.earthlink.net/~fsrhine,0
265,home.earthlink.net/~heavy-duty,0
266,home.earthlink.net/~juris_doctor_szh,0
267,home.earthlink.net/~kevin.omeara,0
268,home.houston.rr.com/skeptical,0
269,homepage.mac.com/elisa_camahort/iblog,0
270,homepage.mac.com/georgia.nesmith/iblog/index.html,0
271,homepage.mac.com/jpbarr/myblog,0
272,hotflashesfromthecampaigntrail.blogspot.com,0
273,hotflashreport.com,0
274,howienfriends.blogspot.com,0
275,hugozoom.blogspot.com,0
276,ibe.blogspot.com,0
277,ibrutus.com,0
278,iddybud.blogspot.com,0
279,idiosyncratictendencies.com,0
280,idlehandsmag.com/yellowdog04,0
281,iflipflop.com,0
282,ignatz.blogspot.com,0
283,ihatepatrobertson.com,0
284,ilovecynics.com,0
285,in-sub-ordination.blogspot.com,0
286,inez2004.com/blogs,0
287,insanepreschoolmom.blogspot.com,0
288,interestingtimes.blogspot.com,0
289,interestingtimes.typepad.com,0
290,ironmouth.com,0
291,irregulartimes.com/blogger.html,0
292,islanddave.blogspot.com,0
293,itlookslikethis.blogeasy.com,0
294,itsabitmuch.blogspot.com,0
295,ivotedforgeorge.com,0
296,iwantmycountryback.org,0
297,j-bradford-delong.net/movable_type,0
298,jadbury.com,0
299,jadbury.com/blog,0
300,jadedreality.blogspot.com,0
301,jameswolcott.com,0
302,jamiefeyrer.com,0
303,janm.blogspot.com,0
304,jason.unitedworkers.org,0
305,jbcougar.blogspot.com,0
306,jcchurch.blogspot.com,0
307,jdeeth.blogspot.com,0
308,jeremybrendan.blogspot.com,0
309,jetage.blogspot.com,0
310,jewssansfrontieres.blogspot.com,0
311,jimgilliam.com,0
312,jimtreacher.com,0
313,jinkythecat.blogspot.com,0
314,jmbzine.com,0
315,joebrent.blogspot.com,0
316,john.hoke.org,0
317,johnmccrory.com,0
318,johnnynobody.blogspot.com,0
319,jointhecrowd.blogspot.com,0
320,jospehsmind.blogspot.com,0
321,journals.aol.com/breuvers/madashellnotgoingtotakeitanymore,0
322,jpandre.blogspot.com,0
323,juancole.com,0
324,juandejesus.50megs.com/juancomments.html,0
325,julietterossant.com/superchefblog/superchefblog.html,0
326,juliusblog.blogspot.com,0
327,justmark.com,0
328,karlhenderson.blogspot.com,0
329,karmicsoup.blogspot.com,0
330,katyggls.blogspot.com,0
331,kcdems.blogspot.com,0
332,kensain.com,0
333,kerryforpresident2008.blogspot.com,0
334,kerrytalkingpoints.blogspot.com,0
335,kicktheleftist.blogspot.com,0
336,kiersten.connersax.com,0
337,kiosan.blogharbor.com,0
338,kippsblog.com,0
339,kristyandotherwise.blogspot.com,0
340,kurtkk.blogspot.com,0
341,kydem.blogspot.com,0
342,labandadelbuko.ilcannocchiale.it,0
343,lagernik.blogspot.com,0
344,lastdaysoftherepublic.fatoprofugus.net,0
345,lawdork.blogspot.com,0
346,laylasblog.com,0
347,leanleft.com,0
348,leavethematrix.blogspot.com,0
349,left2right.typepad.com,0
350,lefterer.com,0
351,lefti.blogspot.com,0
352,leftinthereign.blogspot.com,0
353,leftthought.blogspot.com,0
354,lefttimes.com,0
355,leftwingnation.com,0
356,lendmesomesugar.blogs.com/shut_up_already,0
357,lennonreport.blogspot.com,0
358,leonards-digest.blogspot.com,0
359,lettherebepeace.blogspot.com,0
360,liberalangst.org,0
361,liberalavenger.com,0
362,liberaleric.blogspot.com,0
363,liberaloasis.com,0
364,liberalreview.blogspot.com,0
365,liberalthunderdome.blogspot.com,0
366,liberationlearning.blogspot.com,0
367,lightupthedarkness.org,0
368,lightupthedarkness.org/blog/default.asp,0
369,limecoconut.blogspot.com,0
370,limericksavant.blogspot.com,0
371,liquidlist.com,0
372,literarybargainville.net,0
373,livejournal.com/users/hoptkov,0
374,livejournal.com/users/jmhm,0
375,livejournal.com/~dailyapple,0
376,livejournal.com/~ladywriter_mts,0
377,loadedmouth.com,0
378,lorenjavier.blogspot.com,0
379,loud-liberal.blogspot.com,0
380,loveamericahatebush.com,0
381,lowrentrat.blogdrive.com,0
382,ltobs.blogspot.com,0
383,ludis.blogspot.com,0
384,ludovicspeaks.typepad.com,0
385,ludovicspeaks.typepad.com/real_deal,0
386,madamepresident2020.blogspot.com,0
387,madkane.com/notable.html,0
388,maggiespants.co.uk,0
389,mahablog.com,0
390,marcbrazeau.blogspot.com,0
391,margaretcho.com/blog/blog.htm,0
392,margieburns.com,0
393,markadams.blogdrive.com,0
394,markarkleiman.com,0
395,markch.blogspot.com,0
396,markschmitt.typepad.com/decembrist,0
397,markwarnerforpresident2008.blogspot.com,0
398,martadonayre.com,0
399,maruthecrankpot.blogspot.com,0
400,massachusetts-liberal.com,0
401,mathewgross.com,0
402,mathewgross.com/blog,0
403,matthewyglesias.com,0
404,maultasch.us,0
405,maxspeak.org/mt,0
406,mayflowerhill.blogspot.com,0
407,mcwil.blogspot.com,0
408,meanspirit.blogspot.com,0
409,meateatingleftist.com,0
410,mediajunkie.com/edgewise,0
411,mediaprima.com/nv1962,0
412,members.aol.com/ourprez08,0
413,members.cox.net/aaronjohn,0
414,messengerpuppet.com/blog,0
415,metropol47.blogspot.com,0
416,michael124.blogspot.com,0
417,michaelberube.com,0
418,michaelphillips.blogspot.com,0
419,mickikrimmel.com/redcarpet,0
420,midguard.blogspot.com,0
421,minagahet.blogspot.com,0
422,mirocat.com,0
423,miss-sassafras.com,0
424,misschin.bloggage.com,0
425,missourikid.blog-city.com,0
426,mixtersmix.blogspot.com,0
427,montages.blogspot.com,0
428,moxiegrrrl.com,0
429,mrleft.org,0
430,mrstevebeers.blogspot.com,0
431,msnbc.msn.com/id/3449870,0
432,mstabile.blogspot.com,0
433,multitudes.typepad.com,0
434,mydd.com,0
435,myducksoup.com/blog/bloglib/bloglib.shtml,0
436,myleftbrain.com,0
437,myleftthoughts.blogspot.com,0
438,mysterypollster.com/main,0
439,nastyboys.blogspot.com,0
440,nathancallahan.com,0
441,nathannewman.org/log,0
442,nationalreview.com/frum/frum-diary.asp,0
443,ndnblog.org,0
444,nearouterheaven.blogspot.com,0
445,nebursworld.blogspot.com,0
446,needlenose.com,0
447,nephandus.com/blog.php,0
448,nerofiddled.blogspot.com,0
449,netpolitik.blogspot.com,0
450,netweed.com/postmodernanarchist,0
451,newappeal.blogspot.com,0
452,newdemocrat.blogdrive.com,0
453,newdonkey.com,0
454,newleftblogs.blogspot.com,0
455,news-opinion.blog-city.com,0
456,newstrolls.com,0
457,nftl.blogspot.com,0
458,niagarabuzz.com,0
459,nickgerman.blogspot.com,0
460,nielsenhayden.com/electrolite,0
461,nielsenhayden.com/makinglight,0
462,njfordemocracy.org,0
463,njn-blogogram.blogspot.com,0
464,njsoccermom.blogspot.com,0
465,node707.com,0
466,nofearoffreedom.blogspot.com,0
467,nomoremister.blogspot.com,0
468,norbizness.com,0
469,noseyonline.com,0
470,nosmallplans.com/rants,0
471,notbush.com,0
472,notgeniuses.com,0
473,nuntius.blogspot.com,0
474,nycitystoop.com,0
475,obamablog.com,0
476,obrien4.net/probitus,0
477,obsidianwings.blogs.com,0
478,ocd-gx-liberal.blogspot.com,0
479,oddhours.blogspot.com,0
480,offthekuff.com/mt,0
481,oipp.blogspot.com,0
482,oliphantparts.org/blog,0
483,oliverwillis.com,0
484,one38.org,0
485,onetrueblog.com,0
486,onhappiness.crimsonblog.com,0
487,openeyesmemo.com,0
488,orient-lodge.com,0
489,ospolitics.org,0
490,oxblog.blogspot.com,0
491,pacdaily.com,0
492,pacificviews.org,0
493,pandagon.net,0
494,parabasis.typepad.com,0
495,patriotboy.blogspot.com,0
496,pattymurray.com/blog.php,0
497,paulchasman.com,0
498,peacegarden.blogspot.com,0
499,penheaded.blogspot.com,0
500,pennywit.com/drupal,0
501,permanentred.com,0
502,peskytherat.com/pesky,0
503,phillybri.blogspot.com,0
504,philoponia.blogspot.com,0
505,philosophers-stone.blogspot.com,0
506,philvbblog.blogspot.com,0
507,phoblographer.com,0
508,pinkofeministhellcat.typepad.com/pinko_feminist_hellcat,0
509,planetdave.com/blogs.php3?mid=1,0
510,politicalinsanity.com,0
511,politicalmonitor.us/blog,0
512,politicalstrategy.org,0
513,politicalthought.net,0
514,politicalwire.com,0
515,politics.feedster.com,0
516,politicswithrichard.blogspot.com,0
517,polizeros.com,0
518,pollsterseek.blogspot.com,0
519,polstate.com,0
520,popstalin.com/news,0
521,portapulpit.com,0
522,posptect.org/weblog,0
523,praguewriter.typepad.com,0
524,presidentboxer.blogspot.com,0
525,prestoncaldwellblog.blogspot.com,0
526,probitus.obrien4.net,0
527,profgoose.blogspot.com,0
528,progressivecyclone.blogspot.com,0
529,progressivedialogue.com,0
530,progressiveink.com,0
531,progressiveink.com/bloggers.php,0
532,progressivesociety.com/blog,0
533,progressivetrail.org/blog.shtml,0
534,proponentofreason.blogspot.com,0
535,prospect.org/weblog,0
536,pudentilla.blogspot.com,0
537,punditician.blogspot.com,0
538,purplestates.blogspot.com,0
539,qando.net,0
540,question-dean.blogspot.com,0
541,radgeek.com,0
542,radikal_papi.pitas.com,0
543,radio.weblogs.com/0131587/categories/flush,0
544,raedinthemiddle.blogspot.com,0
545,randz.net,0
546,rantingred.blogspot.com,0
547,reachm.com/amstreet,0
548,readingpost.com,0
549,realitybasednation.com,0
550,red-harvest.blogspot.com,0
551,religiousleft.blogspot.com,0
552,republicansbite.com,0
553,republicoft.typepad.com,0
554,resistoppression.blogspot.com,0
555,restoreamerica.blogspot.com,0
556,retrogrouch.net,0
557,revoltnow-us.blogspot.com,0
558,reynardfox.com,0
559,rhetoricrhythm.blogspot.com,0
560,righthandthief.blogspot.com,0
561,rising-hegemon.blogspot.com,0
562,risinghegemon.blogspot.com,0
563,rittenhouse.blogspot.com,0
564,riverbendblog.blogspot.com,0
565,rkook.blogspot.com,0
566,roadtosurfdom.com,0
567,robot-invasion.com,0
568,robschumacher.blogspot.com,0
